Departure Date,Sum_of_Revenue
2018-06-29,883.38
2018-06-29,883.38
2018-07-17,1729.94
2018-07-17,1729.94
2018-07-03,2323.07
2018-07-03,2323.07
2018-07-07,640.63
2018-07-07,640.63
2018-06-26,506.74
2018-06-26,506.74
2018-07-12,3495.47
2018-07-12,3495.47
2018-06-26,670.0
2018-06-26,670.0
2018-06-26,670.0
2018-06-29,4036.13
2018-06-29,4036.13
2018-06-26,142.92
2018-06-26,142.92
2018-07-02,223.57
2018-06-27,1050.0
2018-06-27,1050.0
2018-07-02,266.19
2018-07-02,266.19
2018-07-02,325.5
2018-07-02,325.5
2018-07-03,637.5
2018-07-03,637.5
2018-07-26,1875.47
2018-07-26,1875.47
2018-07-26,1875.47
2018-07-02,223.87
2018-07-02,720.9499999999998
2018-07-02,720.9499999999998
2018-07-03,303.04
2018-07-03,303.04
2018-07-04,637.5
2018-07-04,637.5
2018-07-04,435.39
2018-07-04,435.39
2018-07-06,1548.76
2018-07-06,1548.76
2018-07-06,733.8299999999998
2018-07-06,733.8299999999998
2018-08-18,3618.45
2018-08-18,3618.45
2018-07-06,142.03
2018-07-06,142.03
2018-06-27,500.78
2018-06-27,500.78
2018-06-26,603.48
2018-06-26,603.48
2018-06-26,603.48
2018-06-26,603.48
2018-06-27,356.14
2018-06-27,356.14
2018-06-26,1328.78
2018-06-26,1328.78
2018-06-26,1328.78
2018-06-26,1328.78
2018-07-05,919.63
2018-07-05,919.63
2018-08-10,1688.58
2018-08-10,1688.58
2018-06-28,92.79
2018-06-28,92.79
2018-06-27,679.83
2018-06-27,679.83
2018-06-27,901.5
2018-06-27,901.5
2018-07-15,1978.11
2018-07-15,1978.11
2018-06-27,209.5
2018-06-27,209.5
2018-06-29,1000.0
2018-06-29,1000.0
2018-06-29,1000.0
2018-06-29,1000.0
2018-06-27,1762.82
2018-06-27,1762.82
2018-06-28,259.5
2018-06-28,259.5
2018-07-02,5226.469999999998
2018-07-02,5226.469999999998
2018-06-27,1066.64
2018-06-27,1066.64
2018-06-27,1540.0
2018-06-27,1540.0
2018-06-28,76.01
2018-06-26,1540.0
2018-06-26,1540.0
2018-06-29,60.0
2018-06-29,60.0
2018-06-29,442.73
2018-06-29,442.73
2018-06-29,236.81
2018-06-29,236.81
2018-06-29,60.0
2018-06-29,60.0
2018-06-27,302.5
2018-06-27,302.5
2018-06-26,1260.47
2018-06-26,1260.47
2018-06-27,530.13
2018-06-27,530.13
2018-06-27,530.13
2018-06-26,1209.8
2018-06-26,1209.8
2018-06-26,1040.0
2018-06-26,1040.0
2018-06-26,520.0
2018-06-29,123.8
2018-06-29,123.8
2018-06-26,492.52
2018-06-26,492.52
2018-06-26,556.05
2018-06-26,556.05
2018-06-29,732.51
2018-06-29,732.51
2018-06-28,450.0
2018-06-28,450.0
2018-06-27,546.07
2018-06-27,546.07
2018-06-28,970.0
2018-06-28,970.0
2018-06-27,92.97
2018-06-27,92.97
2018-06-28,637.14
2018-06-28,637.14
2018-06-28,380.36
2018-06-28,380.36
2018-08-12,1970.25
2018-08-12,1970.25
2018-06-27,518.4300000000001
2018-06-27,518.4300000000001
2018-06-27,352.14
2018-06-27,352.14
2018-06-27,550.0
2018-06-27,550.0
2018-06-29,950.64
2018-06-29,950.64
2018-06-29,101.41
2018-06-29,101.41
2018-06-27,80.75999999999998
2018-06-27,80.75999999999998
2018-07-03,1768.43
2018-07-03,1768.43
2018-06-28,1774.89
2018-06-28,1774.89
2018-07-06,4821.84
2018-07-06,4821.84
2018-06-29,2169.9700000000007
2018-06-29,2169.9700000000007
2018-07-13,1100.0099999999998
2018-07-13,1100.0099999999998
2018-07-07,2821.83
2018-07-07,2821.83
2018-07-06,2487.49
2018-07-06,2487.49
2018-07-06,4896.86
2018-07-06,4896.86
2018-07-07,4916.98
2018-07-07,4916.98
2018-06-27,752.33
2018-06-27,752.33
2018-06-29,843.62
2018-06-29,843.62
2018-06-29,624.2
2018-06-29,624.2
2018-07-05,2516.21
2018-07-05,2516.21
2018-07-03,269.92
2018-07-03,269.92
2018-07-05,3209.7100000000014
2018-07-05,3209.7100000000014
2018-07-05,3131.630000000001
2018-07-05,3131.630000000001
2018-07-05,1877.29
2018-07-05,1877.29
2018-07-19,1479.21
2018-07-19,1479.21
2018-07-06,10728.72
2018-07-06,10728.72
2018-06-27,495.0
2018-06-27,495.0
2018-06-29,1570.42
2018-06-29,1570.42
2018-07-05,634.46
2018-07-05,634.46
2018-07-05,184.7
2018-07-05,184.7
2018-07-22,2831.05
2018-07-22,2831.05
2018-07-07,1332.25
2018-07-07,1332.25
2018-06-28,1263.44
2018-06-28,1263.44
2018-06-27,360.0
2018-06-27,360.0
2018-06-28,268.0
2018-06-28,268.0
2018-06-27,360.0
2018-06-27,360.0
2018-07-16,1973.6
2018-07-16,1973.6
2018-06-29,992.75
2018-06-29,992.75
2018-06-27,289.0
2018-06-27,289.0
2018-06-27,542.77
2018-06-27,542.77
2018-06-27,310.0
2018-06-27,310.0
2018-06-27,310.0
2018-06-27,310.0
2018-07-08,3186.71
2018-07-08,3186.71
2018-06-27,294.75
2018-06-27,294.75
2018-06-28,360.0
2018-06-28,360.0
2018-06-28,289.0
2018-06-28,289.0
2018-07-14,684.99
2018-07-14,684.99
2018-06-28,289.0
2018-06-28,289.0
2018-07-07,713.2300000000001
2018-07-07,713.2300000000001
2018-07-07,7735.89
2018-06-27,1170.5
2018-06-27,1170.5
2018-06-28,310.0
2018-06-28,310.0
2018-06-28,310.0
2018-06-28,310.0
2018-06-29,180.22
2018-06-29,180.22
2018-06-29,261.0
2018-06-29,261.0
2018-06-29,360.0
2018-06-29,360.0
2018-06-29,360.0
2018-06-29,360.0
2018-06-29,289.0
2018-06-29,289.0
2018-06-27,140.11
2018-06-27,140.11
2018-07-02,310.0
2018-07-02,310.0
2018-07-04,332.14
2018-07-04,332.14
2018-07-03,3050.0
2018-07-03,3050.0
2018-07-03,3050.0
2018-07-04,310.0
2018-07-04,310.0
2018-06-27,603.48
2018-06-27,603.48
2018-06-27,603.48
2018-06-27,603.48
2018-07-01,601.8499999999998
2018-07-01,601.8499999999998
2018-06-28,1603.55
2018-06-28,1603.55
2018-06-28,311.0800000000001
2018-06-28,311.0800000000001
2018-07-14,2540.33
2018-07-14,2540.33
2018-06-29,362.6
2018-06-29,362.6
2018-06-28,
2018-06-28,
2018-06-28,
2018-06-29,123.8
2018-06-29,172.45
2018-07-03,2860.0
2018-07-03,2860.0
2018-07-03,2860.0
2018-06-28,790.0
2018-07-02,1350.0
2018-07-02,1350.0
2018-06-27,1250.0
2018-06-27,1250.0
2018-06-27,562.81
2018-06-27,562.81
2018-07-02,236.81
2018-07-02,236.81
2018-08-28,3130.32
2018-08-28,3130.32
2018-09-16,4918.61
2018-09-16,4918.61
2018-08-04,593.7
2018-08-04,593.7
2018-06-27,285.0
2018-08-31,576.7
2018-08-31,576.7
2018-09-10,1277.62
2018-09-10,1277.62
2018-06-28,502.04
2018-06-28,502.04
2018-10-08,3414.54
2018-10-08,3414.54
2018-06-27,513.93
2018-06-27,513.93
2018-06-28,934.5
2018-06-28,934.5
2018-06-27,370.94
2018-06-27,370.94
2018-06-28,396.72
2018-06-28,396.72
2018-06-27,1250.0
2018-06-28,1625.0
2018-06-28,1625.0
2018-06-28,413.03
2018-06-28,413.03
2018-06-29,240.56
2018-06-28,460.0
2018-06-28,460.0
2018-06-28,460.0
2018-06-27,340.0
2018-06-27,340.0
2018-06-28,322.97
2018-06-28,322.97
2018-06-27,1700.0
2018-07-17,1280.0
2018-06-29,607.09
2018-06-29,607.09
2018-06-29,2750.0
2018-06-29,2750.0
2018-06-28,1700.0
2018-06-29,319.5
2018-06-29,319.5
2018-06-28,1750.0
2018-06-28,1750.0
2018-08-06,1875.47
2018-08-06,1875.47
2018-08-06,1875.47
2018-06-28,1250.0
2018-06-28,1250.0
2018-06-28,1250.0
2018-06-28,1250.0
2018-06-28,1700.0
2018-06-29,1750.0
2018-07-23,1200.0
2018-07-23,1200.0
2018-06-29,1750.0
2018-06-29,1750.0
2018-06-29,1250.0
2018-06-29,1250.0
2018-07-02,1250.0
2018-06-29,1250.0
2018-06-29,1700.0
2018-07-03,4680.0
2018-07-03,4680.0
2018-07-03,4680.0
2018-07-07,10811.84
2018-07-07,10811.84
2018-07-01,856.34
2018-07-01,856.34
2018-07-06,509.13
2018-07-06,509.13
2018-06-29,339.1
2018-06-29,339.1
2018-06-28,104.77
2018-06-28,104.77
2018-07-06,5107.57
2018-07-06,5107.57
2018-07-14,2410.9700000000007
2018-07-14,2410.9700000000007
2018-07-13,3527.8099999999995
2018-07-13,3527.8099999999995
2018-07-12,6190.67
2018-07-12,6190.67
2018-07-02,637.14
2018-07-04,1949.15
2018-07-04,1949.15
2018-07-10,1485.0
2018-07-10,1485.0
2018-06-28,245.97
2018-06-28,245.97
2018-07-17,1505.08
2018-07-17,1505.08
2018-07-17,84.92
2018-07-17,84.92
2018-06-29,238.4
2018-06-29,238.4
2018-06-28,239.42
2018-06-28,239.42
2018-07-02,375.0
2018-07-02,375.0
2018-07-04,1155.0
2018-07-04,1155.0
2018-07-04,1155.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-02,1110.0
2018-07-06,5633.22
2018-07-06,5633.22
2018-07-03,1110.0
2018-07-03,1110.0
